# Authored classification for the pinned Go by Example corpus.
#
# This table is the HUMAN-OWNED input. docs/go-by-example/inventory.tsv is the
# DERIVED join of this table with the measured bytes and digests of the copied
# files (tools/go-by-example/refresh.sh). A path that appears upstream with no
# row here is a fail-closed error, so the corpus cannot grow silently.
#
# Every axis value is declared in docs/go-by-example/behavior-schema.tsv. There
# is no "applicable"/"exception"/"N/A" column: every program row is executed by
# tools/go-by-example/gate.sh under the adapters named on its own row. A run
# that fails is a FAILURE, never a reclassification.
#
# path	kind	behavior	normalization	adapter	requires
examples/UPSTREAM-README.md	provenance	not_a_program	not_a_program	not_a_program	none
examples/arrays/arrays.go	program	deterministic	none	none	none
examples/atomic-counters/atomic-counters.go	program	concurrency	none	bounded_wait	none
examples/base64-encoding/base64-encoding.go	program	deterministic	none	none	none
examples/channel-buffering/channel-buffering.go	program	deterministic	none	none	none
examples/channel-directions/channel-directions.go	program	deterministic	none	none	none
examples/channel-synchronization/channel-synchronization.go	program	concurrency,timeout	none	bounded_wait	none
examples/channels/channels.go	program	concurrency	none	bounded_wait	none
examples/closing-channels/closing-channels.go	program	concurrency	none	bounded_wait	none
examples/closures/closures.go	program	deterministic	none	none	none
examples/command-line-arguments/command-line-arguments.go	program	argv	argv0_path	argv_fixture	none
examples/command-line-flags/command-line-flags.go	program	argv	none	argv_fixture	none
examples/command-line-subcommands/command-line-subcommands.go	program	argv	none	argv_fixture	none
examples/constants/constants.go	program	deterministic	none	none	none
examples/context/context.go	program	concurrency,network_server,timeout	none	bounded_wait,loopback_server	none
examples/custom-errors/custom-errors.go	program	deterministic	none	none	none
examples/defer/defer.go	program	filesystem_temp	none	tmpdir	none
examples/directories/directories.go	program	filesystem_cwd	none	hermetic_cwd	none
examples/embed-directive/embed-directive.go	program	deterministic	none	none	examples/embed-directive/folder/file1.hash,examples/embed-directive/folder/file2.hash,examples/embed-directive/folder/single_file.txt
examples/embed-directive/folder/file1.hash	runtime_asset	not_a_program	not_a_program	not_a_program	none
examples/embed-directive/folder/file2.hash	runtime_asset	not_a_program	not_a_program	not_a_program	none
examples/embed-directive/folder/single_file.txt	runtime_asset	not_a_program	not_a_program	not_a_program	none
examples/enums/enums.go	program	deterministic	none	none	none
examples/environment-variables/environment-variables.go	program	environment	env_listing	fixed_env	none
examples/epoch/epoch.go	program	clock	wallclock	fake_clock	none
examples/errors/errors.go	program	deterministic	none	none	none
examples/execing-processes/execing-processes.go	program	filesystem_cwd,process_exec	file_metadata	fixed_env,hermetic_cwd	none
examples/exit/exit.go	program	process_exit	goexit_status	exit_status_capture	none
examples/file-paths/file-paths.go	program	deterministic	none	none	none
examples/for/for.go	program	deterministic	none	none	none
examples/functions/functions.go	program	deterministic	none	none	none
examples/generics/generics.go	program	deterministic	none	none	none
