root	mode	first_line
testdir:64bit.go	interpreted	command exceeded time limit
testdir:abi/fibish.go	interpreted	command exceeded time limit
testdir:abi/fibish_closure.go	interpreted	command exceeded time limit
testdir:abi/idata.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:abi/result_live.go	interpreted	result_live.go:13: missing error "live at call to g: r"
testdir:abi/result_live.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:abi/struct_lower_1.go	interpreted	unregistered bridge type "Struct6"
testdir:abi/uglyfib.go	interpreted	command exceeded time limit
testdir:atomicload.go	interpreted	command exceeded time limit
testdir:blank.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:chan/powser2.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:closure.go	interpreted	command exceeded time limit
testdir:const7.go	interpreted	gosource: fmt.Fprintf requires a dependency-owned writer; original Write callbacks are unsupported
testdir:convinline.go	interpreted	gosource: fmt.Fprintf requires a dependency-owned writer; original Write callbacks are unsupported
testdir:deferfin.go	interpreted	command exceeded time limit
testdir:escape_calls.go	interpreted	escape_calls.go:14: missing error "leaking param: buf to result ~r0 level=0$"
testdir:escape_calls.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug089.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug150.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug177.go	interpreted	unregistered bridge type "S2"
testdir:fixedbugs/bug245.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug257.go	interpreted	fixedbugs/bug257.go:20059:2: unregistered bridge type "hash.Hash"
testdir:fixedbugs/bug260.go	interpreted	exit status 1
testdir:fixedbugs/bug352.go	interpreted	output should be empty when (optional) expected-output file fixedbugs/bug352.out is not present. Instead saw
testdir:fixedbugs/bug369.go	interpreted	gosource: native slice retention or mutation is unsupported for os/exec.Command
testdir:fixedbugs/bug392.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug434.go	interpreted	panic: 0
testdir:fixedbugs/bug443.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug461.go	interpreted	unregistered bridge type "*<unsupported embedded field>"
testdir:fixedbugs/bug483.go	interpreted	gosource: fmt.Fprintf requires a dependency-owned writer; original Write callbacks are unsupported
testdir:fixedbugs/bug517.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:fixedbugs/gcc65755.go	interpreted	exit status 2
testdir:fixedbugs/issue10353.go	interpreted	bash++: task failed: exit status 1
testdir:fixedbugs/issue11256.go	interpreted	command exceeded time limit
testdir:fixedbugs/issue11286.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:fixedbugs/issue11699.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/issue11771.go	interpreted	gosource: fmt.Fprintln requires a dependency-owned writer; original Write callbacks are unsupported
