root	mode	first_line
testdir:64bit.go	interpreted	command exceeded time limit
testdir:abi/fibish.go	interpreted	command exceeded time limit
testdir:abi/fibish_closure.go	interpreted	command exceeded time limit
testdir:abi/idata.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:abi/result_live.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:abi/result_live.go	interpreted	result_live.go:13: missing error "live at call to g: r"
testdir:abi/struct_lower_1.go	interpreted	unregistered bridge type "Struct6"
testdir:abi/uglyfib.go	interpreted	command exceeded time limit
testdir:alias1.go	interpreted	panic: byte != uint8
testdir:atomicload.go	interpreted	command exceeded time limit
testdir:blank.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:chan/powser2.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:chan/sieve2.go	interpreted	bash++: task failed: exit status 1
testdir:closure.go	interpreted	command exceeded time limit
testdir:const7.go	interpreted	gosource: fmt.Fprintf requires a dependency-owned writer; original Write callbacks are unsupported
testdir:convert.go	interpreted	gosource: asynchronous or retained original function callbacks are unsupported for __gosource_import_0_0.TypeOf
testdir:convinline.go	interpreted	gosource: fmt.Fprintf requires a dependency-owned writer; original Write callbacks are unsupported
testdir:deferfin.go	interpreted	command exceeded time limit
testdir:escape_calls.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:escape_calls.go	interpreted	escape_calls.go:14: missing error "leaking param: buf to result ~r0 level=0$"
testdir:fixedbugs/bug089.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug150.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug177.go	interpreted	unregistered bridge type "S2"
testdir:fixedbugs/bug245.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug257.go	interpreted	fixedbugs/bug257.go:20059:2: unregistered bridge type "hash.Hash"
testdir:fixedbugs/bug260.go	interpreted	exit status 1
testdir:fixedbugs/bug352.go	interpreted	output should be empty when (optional) expected-output file fixedbugs/bug352.out is not present. Instead saw
testdir:fixedbugs/bug367.go	compiled	panic: should not satisfy main.I
testdir:fixedbugs/bug367.go	interpreted	panic: should not satisfy main.I
testdir:fixedbugs/bug369.go	interpreted	gosource: native slice retention or mutation is unsupported for os/exec.Command
testdir:fixedbugs/bug392.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug434.go	interpreted	panic: 0
testdir:fixedbugs/bug443.go	compiled	panic: runtime error: invalid memory address or nil pointer dereference
testdir:fixedbugs/bug461.go	interpreted	unregistered bridge type "*<unsupported embedded field>"
testdir:fixedbugs/bug483.go	interpreted	gosource: fmt.Fprintf requires a dependency-owned writer; original Write callbacks are unsupported
testdir:fixedbugs/bug510.go	interpreted	scalar call interrupted
testdir:fixedbugs/bug514.go	interpreted	bash++ import "runtime/cgo": package requires cgo, which this pure-Go shell does not provide
testdir:fixedbugs/bug517.go	interpreted	gosource: build dependency bridge: exit status 1: # command-line-arguments
testdir:fixedbugs/gcc65755.go	interpreted	exit status 2
