# Sprint 149 residual ledger: every non-green packet root, classified. A `seam`
# row blocks its story; a `product` row is handed to the named downstream sprint
# and is never reclassified here. `first_line` is the leading diagnostic as
# emitted; `repro` is the direct command that reproduces it outside the harness.
# Rows below the seed were generated from the retained Linux evidence of the
# 2026-09-11 packet run (one coordinator, Go 1.27.0 linux/amd64, Bash++ be20731)
# by an automated first-line triage; `owner` 151/152/154 marks a diagnostic
# whose subsystem the Barrier-A partition must settle. Every row is product:
# its phase executed and upstream applied its own contract.
# packet	root	mode	class	first_line	owner	repro
149.6	abi/bad_select_crash.go	both	product	unsupported type *ast.BasicLit	151/152	bashy --bashpp --source=go --check --go-file test/abi/bad_select_crash.go
149.4	fixedbugs/issue44465.go	both	product	gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue44465.go
149.4	fixedbugs/issue45948.go	both	product	gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue45948.go
149.4	fixedbugs/issue52278.go	both	product	gosource: unsupported LabeledStmt	151	bashy --bashpp --source=go --check --go-file test/fixedbugs/issue52278.go
149.4	fixedbugs/issue31915.go	compiled	product	panic: nil pointer dereference in lower.(*emitter).block (lower/compile.go:631)	152	bashy transpile --bashpp --source=go --go-file test/fixedbugs/issue31915.go -o /tmp/main.go
149.4	fixedbugs/issue58826.go	compiled	product	panic: nil pointer dereference in lower.(*emitter).block (lower/compile.go:631)	152	bashy transpile --bashpp --source=go --go-file test/fixedbugs/issue58826.go -o /tmp/main.go
149.1	abi/result_live.go	compiled	product	panic: runtime error: invalid memory address or nil pointer dereference	152	bashy transpile --bashpp --source=go --go-file test/abi/result_live.go -o /tmp/main.go
149.1	abi/result_live.go	interpreted	product	result_live.go:13: missing error "live at call to g: r"	154	bashy --bashpp --source=go --check --go-file test/abi/result_live.go
149.1	bloop.go	interpreted	product	bloop.go:14: missing error "can inline caninline"	154	bashy --bashpp --source=go --check --go-file test/bloop.go
149.1	bounds.go	interpreted	product	bounds.go:64: missing error "index bounds check elided"	154	bashy --bashpp --source=go --check --go-file test/bounds.go
149.1	char_lit1.go	compiled	product	char_lit1.go:16:8: escape sequence is invalid Unicode code point	151	bashy transpile --bashpp --source=go --go-file test/char_lit1.go -o /tmp/main.go
