root	mode	first_line	verdict
testdir:bombad.go	interpreted	test/bombad.go:14:2: expected statement, found 'ILLEGAL'	missing=0;wording=4;extra=7;class=wording
testdir:bombad.go	compiled	test/bombad.go:14:2: expected statement, found 'ILLEGAL'	missing=0;wording=4;extra=7;class=wording
testdir:char_lit1.go	interpreted	test/char_lit1.go:16:8: escape sequence is invalid Unicode code point	missing=0;wording=0;extra=8;class=multiplicity
testdir:char_lit1.go	compiled	test/char_lit1.go:16:8: escape sequence is invalid Unicode code point	missing=0;wording=0;extra=8;class=multiplicity
testdir:devirtualization.go	interpreted	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning	missing=0;wording=0;extra=0;class=-
testdir:devirtualization.go	compiled	test/devirtualization.go:17:6: can inline (*Impl).M	missing=2;wording=0;extra=0;class=missing
testdir:escape_reflect.go	interpreted	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning	missing=0;wording=0;extra=0;class=-
testdir:escape_reflect.go	compiled	test/escape_reflect.go:354:32: 0 does not escape	missing=4;wording=0;extra=0;class=missing
testdir:escape_slice.go	interpreted	Bash++ backend unsupported: optimizer diagnostics are a compiler artifact; the check interface has no inlining, escape-analysis or SSA meaning	missing=0;wording=0;extra=0;class=-
testdir:escape_slice.go	compiled	test/escape_slice.go:140:12: make(IP, 16) escapes to heap	missing=3;wording=0;extra=0;class=missing
testdir:fixedbugs/bug014.go	interpreted	test/fixedbugs/bug014.go:10:21: illegal character U+0027 ''' in escape sequence	missing=0;wording=0;extra=4;class=multiplicity
testdir:fixedbugs/bug014.go	compiled	test/fixedbugs/bug014.go:10:21: illegal character U+0027 ''' in escape sequence	missing=0;wording=0;extra=4;class=multiplicity
testdir:fixedbugs/bug050.go	interpreted	test/fixedbugs/bug050.go:7:1: expected 'package', found 'func'	missing=0;wording=0;extra=1;class=multiplicity
testdir:fixedbugs/bug050.go	compiled	test/fixedbugs/bug050.go:7:1: expected 'package', found 'func'	missing=0;wording=0;extra=1;class=multiplicity
testdir:fixedbugs/bug068.go	interpreted	test/fixedbugs/bug068.go:12:13: unknown escape sequence	missing=0;wording=0;extra=1;class=multiplicity
testdir:fixedbugs/bug068.go	compiled	test/fixedbugs/bug068.go:12:13: unknown escape sequence	missing=0;wording=0;extra=1;class=multiplicity
